,Unnamed: 0,protein,ligand,type,value,unit,smiles
67,67,lps+nigericin thp-1 macrophages pyroptosis,64,IC50,> 100,uM,O=C(Nc1cccc(O)c1)c1ccc2cc[nH]c2c1
68,68,lps+nigericin thp-1 macrophages pyroptosis,65,IC50,4.146,uM,O=C(Cc1ccc2cc[nH]c2c1)NCc1cccc(O)c1
69,69,lps+nigericin thp-1 macrophages pyroptosis,66,IC50,> 100,uM,O=C(NCc1ccc2cc[nH]c2c1)c1cccc(O)c1
70,70,lps+nigericin thp-1 macrophages pyroptosis,67,IC50,7.096,uM,CN(C(=O)Cc1ccc2cc[nH]c2c1)c1cccc(O)c1
71,71,nlrp3,J114,Kd,1.63,mM,O=C(Cc1ccc2cc[nH]c2c1)Nc1cccc(O)c1
0,0,lps+nigericin thp-m il-1β,MCC950,IC50,0.013,uM,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1
1,1,lps+nigericin thp-m il-1β,7,IC50,0.146,uM,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccc(Cl)c2nonc12
2,2,lps+nigericin thp-m il-1β,7a,IC50,0.06,uM,CN(C)c1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c2nonc12
3,3,lps+nigericin thp-m il-1β,7b,IC50,0.947,uM,CC(C)(C)OC(=O)NC1CN(c2ccc(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)c3nonc23)C1
4,4,lps+nigericin thp-m il-1β,7c,IC50,0.108,uM,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccc(N2CCOCC2)c2nonc12
5,5,lps+nigericin thp-m il-1β,7d,IC50,0.641,uM,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccc(N2C[C@@H]3[C@@H](CO)[C@@H]3C2)c2nonc12
6,6,lps+nigericin thp-m il-1β,7e,IC50,0.243,uM,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccc(N2CC3CCC(C2)O3)c2nonc12
7,7,lps+nigericin thp-m il-1β,7f,IC50,0.247,uM,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccc(NC2CC(F)(F)C2)c2nonc12
